epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69768,1.64769,3.11274,1.82628,0.00635,0.97619,0.13491,0.03216,1.63061,3.31955,2.07151,1.667e-05,1.667e-05,1.667e-05
2,2.17934,1.43287,3.04522,1.70975,0.00635,0.97619,0.14681,0.04148,1.50349,3.24146,1.95453,4.99e-05,4.99e-05,4.99e-05
3,2.61581,1.33687,2.92841,1.58024,0.00652,1,0.30236,0.11838,1.36397,3.11292,1.79815,8.29833e-05,8.29833e-05,8.29833e-05
4,3.05634,1.16684,2.78973,1.48939,0.4672,0.24469,0.43817,0.24443,1.21483,2.8604,1.59158,0.00011592,0.00011592,0.00011592
5,3.48732,1.36604,2.55264,1.53979,0.49683,0.61619,0.58956,0.37577,1.16508,2.13932,1.42639,0.00014871,0.00014871,0.00014871
6,3.92267,1.3253,2.27026,1.47368,0.52037,0.71375,0.68644,0.43789,1.20775,1.76451,1.48571,0.000181353,0.000181353,0.000181353
7,4.35407,1.18952,1.80175,1.35731,0.72258,0.75286,0.83216,0.54159,1.2175,1.96884,1.5558,0.000213849,0.000213849,0.000213849
8,4.79339,1.41832,1.62963,1.42282,0.69234,0.94433,0.87369,0.56333,1.23541,2.37117,1.49304,0.000246199,0.000246199,0.000246199
9,5.23015,1.14904,1.28069,1.31042,0.70787,0.93972,0.87991,0.58565,1.20172,2.26744,1.38919,0.000278402,0.000278402,0.000278402
10,5.6594,1.08135,1.20112,1.22297,0.7675,0.93801,0.95551,0.65266,1.15797,1.58979,1.2675,0.000310459,0.000310459,0.000310459
11,6.10765,1.18201,1.2427,1.3779,0.96904,0.95429,0.995,0.70762,1.09183,1.17654,1.19519,0.000342368,0.000342368,0.000342368
12,6.53089,1.209,1.32158,1.2753,0.95243,0.97424,0.995,0.65121,1.2138,1.20621,1.25765,0.000374131,0.000374131,0.000374131
13,6.94517,1.07228,1.12931,1.16057,0.94116,1,0.995,0.66782,1.22098,1.31199,1.25523,0.000405748,0.000405748,0.000405748
14,7.37192,1.15089,1.15684,1.21037,0.97794,0.97182,0.995,0.68049,1.14197,1.55168,1.20051,0.000437217,0.000437217,0.000437217
15,7.795,1.12715,1.0289,1.15109,0.99196,1,0.995,0.68335,1.07873,1.49788,1.16503,0.00046854,0.00046854,0.00046854
16,8.20907,1.04735,1.10318,1.18126,0.99567,1,0.995,0.7082,1.00744,1.35771,1.1243,0.000499717,0.000499717,0.000499717
17,8.63985,0.99039,0.99431,1.07065,0.99684,1,0.995,0.71252,0.97163,1.05564,1.1023,0.000530746,0.000530746,0.000530746
18,9.0703,1.12832,1.08394,1.1728,0.99692,1,0.995,0.70949,1.05999,0.86046,1.1218,0.000561629,0.000561629,0.000561629
19,9.48779,1.03845,1.05336,1.11178,0.99378,1,0.995,0.705,1.07558,0.85773,1.14063,0.000592365,0.000592365,0.000592365
20,9.90798,1.23516,1.02706,1.30909,0.98777,1,0.995,0.70756,1.02691,0.92773,1.12281,0.000622955,0.000622955,0.000622955
21,10.3469,1.05447,1.0314,1.10967,0.96899,0.96098,0.995,0.6933,1.02969,0.87327,1.12846,0.000653397,0.000653397,0.000653397
