epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50416,1.1589,4.5591,1.618,0,0,0,0,1.30084,4.14875,2.28035,5.55e-06,5.55e-06,5.55e-06
2,3.28842,1.33147,4.66286,1.82234,0,0,0,0,1.27873,4.14825,2.2707,1.29244e-05,1.29244e-05,1.29244e-05
3,4.12746,1.22087,4.57294,1.6287,0,0,0,0,1.20687,4.1497,2.13858,2.02694e-05,2.02694e-05,2.02694e-05
4,4.91399,1.02325,4.74495,1.61304,0,0,0,0,1.17978,4.14891,1.98082,2.75852e-05,2.75852e-05,2.75852e-05
5,5.76886,0.95562,4.49934,1.48422,0,0,0,0,1.09478,4.14865,1.87634,3.48716e-05,3.48716e-05,3.48716e-05
6,6.50621,0.9876,4.56544,1.51201,0,0,0,0,0.99572,4.14648,1.71795,4.21288e-05,4.21288e-05,4.21288e-05
7,7.24412,1.11368,4.5579,1.58379,0,0,0,0,0.83474,4.14505,1.5386,4.93566e-05,4.93566e-05,4.93566e-05
8,8.00125,0.933,4.48784,1.40601,0,0,0,0,0.73594,4.14318,1.42722,5.65551e-05,5.65551e-05,5.65551e-05
9,8.73704,0.81467,4.46003,1.31966,0,0,0,0,0.66598,4.13631,1.36255,6.37244e-05,6.37244e-05,6.37244e-05
10,9.46723,0.74488,4.4329,1.26112,0,0,0,0,0.67636,4.12936,1.36828,7.08643e-05,7.08643e-05,7.08643e-05
11,10.2013,0.87553,4.46508,1.39565,0,0,0,0,0.68432,4.11549,1.36381,7.79749e-05,7.79749e-05,7.79749e-05
12,10.9265,0.77462,4.39618,1.33224,0,0,0,0,0.68354,4.09229,1.35913,8.50562e-05,8.50562e-05,8.50562e-05
13,11.6969,0.78269,4.3343,1.27812,0,0,0,0,0.65253,4.06242,1.32904,9.21082e-05,9.21082e-05,9.21082e-05
14,12.438,0.75654,4.35795,1.31207,0.00118,0.02,0.00199,0.00179,0.63703,4.03431,1.32046,9.9131e-05,9.9131e-05,9.9131e-05
15,13.2509,0.82396,4.38829,1.35209,0.00387,0.1,0.00914,0.00739,0.63473,3.956,1.30472,0.000106124,0.000106124,0.000106124
16,14.0783,0.72978,4.36213,1.27109,0.00936,0.18,0.02699,0.02208,0.64918,3.89253,1.30455,0.000113088,0.000113088,0.000113088
17,14.8813,0.78208,4.25594,1.29582,0.0132,0.3,0.04499,0.0375,0.67108,3.83462,1.3221,0.000120023,0.000120023,0.000120023
18,15.6933,0.72986,4.27449,1.29207,0.01871,0.5,0.06374,0.05131,0.67172,3.73993,1.31126,0.000126929,0.000126929,0.000126929
19,16.621,0.76021,4.31215,1.29756,0.01776,0.56,0.07884,0.06144,0.68323,3.68043,1.32055,0.000133805,0.000133805,0.000133805
20,17.4402,0.77578,4.1818,1.27644,0.0151,0.6,0.09545,0.07401,0.67918,3.62272,1.31648,0.000140652,0.000140652,0.000140652
21,18.2787,0.8126,4.28746,1.34683,0.0146,0.64,0.12575,0.10365,0.68016,3.54374,1.29979,0.000147469,0.000147469,0.000147469
22,19.0868,0.73332,4.19691,1.27786,0.01478,0.66,0.13964,0.11461,0.70686,3.49266,1.31712,0.000154258,0.000154258,0.000154258
23,19.9174,0.76742,4.1047,1.24744,0.01679,0.68,0.15795,0.13219,0.72253,3.48126,1.34545,0.000161017,0.000161017,0.000161017
24,20.7324,0.80337,4.12887,1.38463,0.01753,0.7,0.14723,0.11988,0.76347,3.47591,1.3884,0.000167746,0.000167746,0.000167746
25,21.5325,0.76682,4.11692,1.31801,0.01762,0.68,0.14477,0.1134,0.79997,3.48271,1.42854,0.000174447,0.000174447,0.000174447
26,22.3656,0.75998,4.01822,1.28527,0.01807,0.66,0.13795,0.11095,0.75989,3.48351,1.38873,0.000175843,0.000175843,0.000175843
27,23.1683,0.77341,4.10446,1.25533,0.01842,0.66,0.16003,0.13869,0.6792,3.46428,1.31787,0.000175476,0.000175476,0.000175476
28,24.0653,0.73382,4.07559,1.22283,0.01627,0.64,0.15985,0.1401,0.64642,3.45339,1.28696,0.00017511,0.00017511,0.00017511
29,24.8893,0.74006,4.09576,1.2603,0.63461,0.16359,0.16966,0.14733,0.65,3.44768,1.29239,0.000174744,0.000174744,0.000174744
30,25.7391,0.86229,4.05206,1.29166,0.70176,0.16075,0.18238,0.15208,0.68412,3.40078,1.3296,0.000174377,0.000174377,0.000174377
31,26.5513,0.68535,4.01976,1.20951,0.68489,0.1679,0.2304,0.18925,0.71567,3.33367,1.37145,0.000174011,0.000174011,0.000174011
32,27.3833,0.72885,3.99598,1.2615,0.64789,0.19663,0.2672,0.21903,0.74935,3.24518,1.38893,0.000173645,0.000173645,0.000173645
33,28.2039,0.7981,3.96991,1.25848,0.57204,0.27257,0.31375,0.27135,0.7489,3.17879,1.37987,0.000173278,0.000173278,0.000173278
34,29.0358,0.69757,3.88928,1.21121,0.57724,0.31929,0.32357,0.27401,0.73517,3.13455,1.35971,0.000172912,0.000172912,0.000172912
35,29.8612,0.71464,3.79883,1.22535,0.5547,0.32018,0.32733,0.26921,0.75402,3.05042,1.38209,0.000172546,0.000172546,0.000172546
36,30.6951,0.68086,3.89099,1.22752,0.63807,0.28218,0.26941,0.21332,0.78159,2.99634,1.40664,0.000172179,0.000172179,0.000172179
37,31.501,0.84046,3.94068,1.3016,0.67414,0.24971,0.27657,0.21693,0.75667,2.95385,1.38046,0.000171813,0.000171813,0.000171813
38,32.3842,0.74131,3.98208,1.37457,0.68423,0.22546,0.28615,0.22668,0.73461,2.93364,1.36207,0.000171447,0.000171447,0.000171447
39,33.2081,0.74062,3.71013,1.23232,0.74569,0.24,0.32688,0.27428,0.67865,2.90553,1.3156,0.000171081,0.000171081,0.000171081
40,34.0461,0.88608,3.96649,1.42479,0.78782,0.22908,0.36216,0.30688,0.6466,2.85615,1.28505,0.000170714,0.000170714,0.000170714
41,34.8784,0.6904,3.73184,1.24884,0.61442,0.32138,0.3757,0.32139,0.64577,2.8135,1.28029,0.000170348,0.000170348,0.000170348
42,35.694,0.85866,3.66253,1.36893,0.69477,0.3,0.42133,0.35907,0.65294,2.762,1.27242,0.000169982,0.000169982,0.000169982
43,36.51,0.77125,3.47722,1.28192,0.6938,0.32903,0.47077,0.40437,0.67301,2.68512,1.27301,0.000169615,0.000169615,0.000169615
44,37.3133,0.69544,3.61896,1.19149,0.71868,0.32982,0.47962,0.41151,0.66915,2.60729,1.27697,0.000169249,0.000169249,0.000169249
45,38.1066,0.68426,3.55714,1.22783,0.6136,0.4,0.49629,0.42213,0.65837,2.57413,1.26554,0.000168883,0.000168883,0.000168883
46,38.9196,0.71707,3.63211,1.22494,0.59975,0.42,0.52655,0.44313,0.67983,2.55992,1.28424,0.000168517,0.000168517,0.000168517
47,39.7302,0.6632,3.51788,1.16676,0.61771,0.44,0.54949,0.46087,0.71802,2.51797,1.3178,0.00016815,0.00016815,0.00016815
48,40.6109,0.73056,3.57509,1.27988,0.6817,0.44,0.56725,0.46791,0.75361,2.47984,1.35474,0.000167784,0.000167784,0.000167784
49,41.4652,0.6805,3.504,1.20378,0.77903,0.3594,0.58787,0.48717,0.7527,2.4185,1.36095,0.000167418,0.000167418,0.000167418
50,42.3084,0.67002,3.26643,1.22106,0.60414,0.46731,0.60739,0.49765,0.73342,2.37813,1.32489,0.000167051,0.000167051,0.000167051
51,43.2294,0.67234,3.35176,1.16428,0.64839,0.44672,0.58889,0.48651,0.69418,2.38348,1.28534,0.000166685,0.000166685,0.000166685
52,44.3664,0.76878,3.53208,1.29803,0.64935,0.43241,0.57801,0.49188,0.64778,2.44544,1.24838,0.000166319,0.000166319,0.000166319
53,45.4745,0.59509,3.35388,1.13885,0.6416,0.37291,0.60077,0.51018,0.6031,2.45389,1.20995,0.000165952,0.000165952,0.000165952
54,46.4076,0.70904,3.36348,1.23992,0.55107,0.42287,0.60439,0.52516,0.59359,2.35905,1.19884,0.000165586,0.000165586,0.000165586
55,47.2992,0.75477,3.28058,1.31784,0.49057,0.54037,0.62492,0.53639,0.63291,2.28148,1.2277,0.00016522,0.00016522,0.00016522
56,48.4629,0.73677,3.48932,1.24742,0.55027,0.50532,0.64039,0.54164,0.67394,2.26159,1.26551,0.000164853,0.000164853,0.000164853
57,49.2952,0.81894,3.3348,1.22706,0.58221,0.51884,0.65365,0.55544,0.68426,2.25678,1.27114,0.000164487,0.000164487,0.000164487
58,50.3082,0.6808,3.44079,1.23651,0.55845,0.56,0.65841,0.56649,0.66456,2.2375,1.25169,0.000164121,0.000164121,0.000164121
59,51.1902,0.69162,3.19766,1.22733,0.5877,0.54149,0.68596,0.59709,0.64538,2.18709,1.24675,0.000163755,0.000163755,0.000163755
60,52.0569,0.77183,3.17562,1.38399,0.70355,0.47865,0.70588,0.61876,0.64554,2.11608,1.25993,0.000163388,0.000163388,0.000163388
61,52.9202,0.64209,3.18418,1.19371,0.75725,0.46,0.68293,0.59889,0.65578,2.04175,1.28461,0.000163022,0.000163022,0.000163022
62,53.785,0.67067,3.06273,1.19214,0.73309,0.5,0.72909,0.62671,0.67024,2.01619,1.28883,0.000162656,0.000162656,0.000162656
63,54.5943,0.88543,3.30774,1.41997,0.67938,0.54,0.73225,0.63374,0.64915,1.95406,1.26436,0.000162289,0.000162289,0.000162289
64,55.3966,0.76261,3.05467,1.22615,0.79402,0.48,0.7421,0.65529,0.6179,1.88759,1.2326,0.000161923,0.000161923,0.000161923
65,56.2162,0.62495,2.90923,1.18881,0.77951,0.48411,0.71145,0.63569,0.60757,1.86945,1.21556,0.000161557,0.000161557,0.000161557
66,57.0183,0.73498,3.22374,1.2118,0.70063,0.53943,0.69205,0.6118,0.63822,1.85928,1.23179,0.000161191,0.000161191,0.000161191
67,57.8148,0.65273,2.95216,1.19853,0.63256,0.55743,0.70373,0.60878,0.66766,1.82618,1.26169,0.000160824,0.000160824,0.000160824
68,58.7712,0.73811,2.98147,1.22081,0.54875,0.63041,0.74227,0.63855,0.6957,1.7724,1.27974,0.000160458,0.000160458,0.000160458
69,59.7824,0.66573,3.076,1.18237,0.59718,0.65624,0.7581,0.65908,0.64478,1.66501,1.23286,0.000160092,0.000160092,0.000160092
70,60.6687,0.70928,2.85069,1.20001,0.58774,0.70911,0.7652,0.68478,0.55266,1.57058,1.16842,0.000159725,0.000159725,0.000159725
71,61.4712,0.65489,3.13101,1.28725,0.61555,0.67903,0.80758,0.73403,0.52989,1.49478,1.15141,0.000159359,0.000159359,0.000159359
72,62.2407,0.68957,2.89324,1.22584,0.61104,0.72424,0.83464,0.75369,0.54572,1.46585,1.16242,0.000158993,0.000158993,0.000158993
73,63.044,0.6321,2.92071,1.16065,0.67142,0.70525,0.84757,0.75469,0.59178,1.43348,1.18903,0.000158626,0.000158626,0.000158626
74,63.8639,0.65611,2.93248,1.23536,0.70938,0.7,0.86676,0.76764,0.62277,1.3909,1.20551,0.00015826,0.00015826,0.00015826
75,64.651,0.69509,2.81241,1.23456,0.86042,0.58,0.89272,0.78206,0.67361,1.38433,1.25813,0.000157894,0.000157894,0.000157894
76,65.4219,0.6321,2.80533,1.17767,0.88125,0.58,0.88444,0.75172,0.73734,1.39937,1.32671,0.000157528,0.000157528,0.000157528
77,66.1975,0.59088,2.68621,1.13279,0.87293,0.6,0.90434,0.76095,0.76085,1.37439,1.35436,0.000157161,0.000157161,0.000157161
78,67.0644,0.63476,2.67526,1.16211,0.74644,0.68,0.90794,0.77249,0.70708,1.37086,1.31687,0.000156795,0.000156795,0.000156795
79,67.8487,0.96906,2.79694,1.57989,0.63045,0.73446,0.91109,0.80609,0.6285,1.36483,1.25271,0.000156429,0.000156429,0.000156429
80,68.6436,0.69775,2.58729,1.1875,0.62007,0.75671,0.90877,0.80411,0.58587,1.32939,1.22376,0.000156062,0.000156062,0.000156062
81,69.4187,0.64375,2.798,1.19219,0.78366,0.62,0.8955,0.8031,0.56494,1.35207,1.19926,0.000155696,0.000155696,0.000155696
82,70.1773,0.69904,2.57117,1.24883,0.64515,0.73553,0.90412,0.79362,0.56684,1.34733,1.19751,0.00015533,0.00015533,0.00015533
83,70.9517,0.56482,2.45574,1.13611,0.62439,0.76102,0.89119,0.77439,0.61204,1.31699,1.21828,0.000154963,0.000154963,0.000154963
84,71.715,0.72782,2.66077,1.24262,0.72214,0.74,0.90764,0.78228,0.64369,1.28103,1.23084,0.000154597,0.000154597,0.000154597
85,72.4863,0.61913,2.53763,1.14725,0.72964,0.72,0.92119,0.80471,0.63079,1.23063,1.21363,0.000154231,0.000154231,0.000154231
86,73.2785,0.6247,2.55067,1.26067,0.71816,0.74,0.91772,0.8098,0.60996,1.1665,1.19773,0.000153864,0.000153864,0.000153864
87,74.0824,0.56128,2.44588,1.11699,0.66326,0.8,0.93048,0.82977,0.56691,1.11144,1.16906,0.000153498,0.000153498,0.000153498
88,75.0308,0.63942,2.58323,1.19806,0.72832,0.7918,0.91725,0.82346,0.53994,1.11112,1.15882,0.000153132,0.000153132,0.000153132
